pharmacist_id,pharmacist_name,branch_id,phone_number,password,role
P066,Trần Anh Hà,B012,0917165237,password123,STAFF
P067,Phan Hoàng Dũng,B017,0982017170,password123,STAFF
P068,Lê Văn An,B010,0919262495,password123,STAFF
P069,Đoàn Thị Thu,B006,0981020368,password123,STAFF
P070,Đỗ Hoàng Hà,B005,0365537002,password123,STAFF
P071,Bùi Thị Nam,B003,0955331920,password123,STAFF
P072,Trịnh Văn Bình,B007,0918383727,password123,STAFF
P073,Đỗ Quang Dũng,B010,0314984735,password123,STAFF
P074,Đỗ Quang Trang,B009,0374001719,password123,STAFF
P075,Đặng Văn Nam,B005,0998327009,password123,STAFF
P076,Phạm Quang Thu,B005,0981238985,password123,STAFF
P077,Phạm Minh Cao,B016,0980063839,password123,STAFF
P078,Chu Hữu Mai,B006,0977648265,password123,STAFF
P079,Đoàn Thị Mai,B013,0962290243,password123,STAFF
P080,Nguyễn Anh Hương,B019,0963730628,password123,STAFF
P081,Lý Thị Hùng,B012,0360675564,password123,STAFF
P082,Đoàn Hoàng Dũng,B020,0349644496,password123,STAFF
P083,Trịnh Văn Dũng,B014,0943339108,password123,STAFF
P084,Vũ Thị Thảo,B005,0943951193,password123,STAFF
P085,Ngô Văn Dũng,B001,0388935286,password123,STAFF
P086,Lý Minh Nam,B017,0360964799,password123,STAFF
P087,Cao Quang An,B005,0332122341,password123,STAFF
P088,Lý Quang Dũng,B005,0373513379,password123,STAFF
P089,Hà Hoàng Giang,B005,0349590207,password123,STAFF
P090,Bùi Văn Hà,B007,0972585609,password123,STAFF
P091,Dương Anh Dũng,B004,0904775128,password123,STAFF
P092,Trịnh Hữu Hà,B002,0327786144,password123,STAFF
P093,Bùi Anh An,B007,0996981595,password123,STAFF
P094,Trần Minh Giang,B015,0900381861,password123,STAFF
P095,Ngô Minh Hà,B003,0331269805,password123,STAFF
P096,Ngô Quang Cao,B006,0902791676,password123,STAFF
P097,Đoàn Quang Dũng,B003,0992551415,password123,STAFF
P098,Lý Anh Cường,B008,0321799645,password123,STAFF
P099,Trịnh Văn Mai,B009,0904389634,password123,STAFF
P100,Hà Thị Nam,B015,0374122421,password123,STAFF
P101,Phan Hoang Nam,B001,0353554315,password123,ADMIN
